Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
M,0.57,0.48,0.175,1.185,0.474,0.261,0.38,10.57619007383072
F,0.605,0.45,0.195,1.098,0.481,0.2895,0.315,10.934120783948234
F,0.6,0.475,0.15,1.0075,0.4425,0.221,0.28,14.597990956970829
M,0.595,0.475,0.14,0.944,0.3625,0.189,0.315,7.792728933810979
F,0.6,0.47,0.15,0.922,0.363,0.194,0.305,8.581984659594038
F,0.555,0.425,0.14,0.788,0.282,0.1595,0.285,10.614494698009073
F,0.615,0.475,0.17,1.1025,0.4695,0.2355,0.345,15.954998543832644
F,0.575,0.445,0.14,0.941,0.3845,0.252,0.285,8.363915410220486
M,0.62,0.51,0.175,1.615,0.5105,0.192,0.675,13.277412747966284
F,0.52,0.425,0.165,0.9885,0.396,0.225,0.32,15.662170251310169
M,0.595,0.475,0.16,1.3175,0.408,0.234,0.58,19.145479558686954
M,0.58,0.45,0.14,1.013,0.38,0.216,0.36,13.536714727397525
F,0.57,0.465,0.18,1.295,0.339,0.2225,0.44,11.291617291252162
M,0.625,0.465,0.14,1.195,0.4825,0.205,0.4,13.201737822322295
M,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26,13.208738719873924
F,0.46,0.355,0.13,0.517,0.2205,0.114,0.165,5.523141656293146
F,0.575,0.45,0.16,0.9775,0.3135,0.231,0.33,7.936754052597287
M,0.565,0.425,0.135,0.8115,0.341,0.1675,0.255,15.364336673524829
M,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12.246027498152104
M,0.595,0.465,0.175,1.115,0.4015,0.254,0.39,14.96491312765468
F,0.625,0.495,0.165,1.262,0.507,0.318,0.39,9.06608409485428
M,0.695,0.56,0.19,1.494,0.588,0.3425,0.485,15.988976387425073
M,0.665,0.535,0.195,1.606,0.5755,0.388,0.48,12.175020173442048
M,0.535,0.435,0.15,0.725,0.269,0.1385,0.25,8.190151444863357
M,0.47,0.375,0.13,0.523,0.214,0.132,0.145,7.854373845175543
M,0.47,0.37,0.13,0.5225,0.201,0.133,0.165,8.73435010203787
F,0.475,0.375,0.125,0.5785,0.2775,0.085,0.155,14.827509697568402
I,0.36,0.265,0.095,0.2315,0.105,0.046,0.075,9.968591972035192
M,0.55,0.435,0.145,0.843,0.328,0.1915,0.255,18.639005696012283
M,0.53,0.435,0.16,0.883,0.316,0.164,0.335,13.353726055256356
M,0.53,0.415,0.14,0.724,0.3105,0.1675,0.205,9.520172528535555
M,0.605,0.47,0.16,1.1735,0.4975,0.2405,0.345,12.96947794330616
F,0.52,0.41,0.155,0.727,0.291,0.1835,0.235,15.558146449704365
F,0.545,0.43,0.165,0.802,0.2935,0.183,0.28,12.411506470931865
F,0.5,0.4,0.125,0.6675,0.261,0.1315,0.22,10.754933288234543
F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,7.169330279171448
F,0.435,0.395,0.105,0.3635,0.136,0.098,0.13,10.540632690015407
M,0.495,0.395,0.125,0.5415,0.2375,0.1345,0.155,8.37363818375033
M,0.465,0.36,0.105,0.431,0.172,0.107,0.175,11.317730061664802
I,0.435,0.32,0.08,0.3325,0.1485,0.0635,0.105,9.23005917526374
M,0.425,0.35,0.105,0.393,0.13,0.063,0.165,5.538584537580356
F,0.545,0.41,0.125,0.6935,0.2975,0.146,0.21,8.383996882578781
F,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11.963572073382494
F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,10.330394411294193
M,0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,8.93137063325754
F,0.56,0.43,0.15,0.8825,0.3465,0.172,0.31,8.408263873695178
M,0.405,0.305,0.085,0.2605,0.1145,0.0595,0.085,9.804155303950594
F,0.47,0.365,0.105,0.4205,0.163,0.1035,0.14,10.655085667340819
I,0.385,0.295,0.085,0.2535,0.103,0.0575,0.085,4.110362424663769
F,0.515,0.425,0.14,0.766,0.304,0.1725,0.255,15.07710652204552
M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6.923330037796787
I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,3.4203558005500163
I,0.27,0.195,0.06,0.073,0.0285,0.0235,0.03,1.5148931154836691
I,0.375,0.275,0.09,0.238,0.1075,0.0545,0.07,6.067409091408271
I,0.385,0.29,0.085,0.2505,0.112,0.061,0.08,10.247520704021866
M,0.7,0.535,0.16,1.7255,0.63,0.2635,0.54,19.054141530254544
M,0.71,0.54,0.165,1.959,0.7665,0.261,0.78,18.35735175760181
M,0.595,0.48,0.165,1.262,0.4835,0.283,0.41,15.990333257401574
F,0.44,0.35,0.125,0.4035,0.175,0.063,0.129,8.359604469142226
F,0.325,0.26,0.09,0.1915,0.085,0.036,0.062,10.688516126711573
I,0.35,0.26,0.095,0.211,0.086,0.056,0.068,7.238472833054713
I,0.265,0.2,0.065,0.0975,0.04,0.0205,0.028,8.057545307741208
F,0.425,0.33,0.115,0.406,0.1635,0.081,0.1355,6.276106261539651
F,0.305,0.23,0.08,0.156,0.0675,0.0345,0.048,2.9813691256512316
M,0.345,0.255,0.09,0.2005,0.094,0.0295,0.063,9.597126211762138
F,0.405,0.325,0.11,0.3555,0.151,0.063,0.117,7.63698568543518
M,0.375,0.285,0.095,0.253,0.096,0.0575,0.0925,10.454759235222495
F,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,12.720156746958047
F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10.23976048513655
M,0.65,0.52,0.19,1.3445,0.519,0.306,0.4465,14.134462877243704
M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,10.652462213606231
M,0.475,0.375,0.13,0.5175,0.2075,0.1165,0.17,13.636069228162551
F,0.49,0.38,0.125,0.549,0.245,0.1075,0.174,11.339475709305983
M,0.46,0.35,0.12,0.515,0.224,0.108,0.1565,7.81821325239357
I,0.28,0.205,0.08,0.127,0.052,0.039,0.042,9.335925619927098
I,0.175,0.13,0.055,0.0315,0.0105,0.0065,0.0125,6.581262639649126
I,0.17,0.13,0.095,0.03,0.013,0.008,0.01,4.865619468490223
M,0.59,0.475,0.145,1.053,0.4415,0.262,0.325,15.35707109716037
F,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9.620836368498837
F,0.635,0.515,0.19,1.3715,0.5065,0.305,0.45,15.051612640243329
F,0.605,0.485,0.16,1.0565,0.37,0.2355,0.355,12.826999656570322
F,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,14.34413898161129
M,0.515,0.405,0.13,0.722,0.32,0.131,0.21,10.736105043271762
F,0.575,0.46,0.19,0.994,0.392,0.2425,0.34,11.897282815051238
M,0.645,0.485,0.215,1.514,0.546,0.2615,0.635,16.134294535893602
F,0.58,0.455,0.17,0.9075,0.374,0.2135,0.285,13.090681553673075
F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,9.343586677922474
M,0.605,0.465,0.165,1.056,0.4215,0.2475,0.34,15.791764887301651
F,0.605,0.485,0.16,1.222,0.53,0.2575,0.28,14.378663047091118
M,0.61,0.485,0.175,1.2445,0.544,0.297,0.345,8.714960367591987
F,0.725,0.56,0.21,2.141,0.65,0.398,1.005,20.082991059268974
F,0.65,0.545,0.23,1.752,0.5605,0.2895,0.815,18.118933381075657
M,0.725,0.57,0.19,2.55,1.0705,0.483,0.725,13.607885125845534
F,0.725,0.575,0.175,2.124,0.765,0.4515,0.85,19.42879456857144
F,0.68,0.57,0.205,1.842,0.625,0.408,0.65,18.90982898303314
M,0.705,0.56,0.22,1.981,0.8175,0.3085,0.76,10.714597417676938
F,0.68,0.515,0.175,1.6185,0.5125,0.409,0.62,10.481959914483937
M,0.695,0.55,0.215,1.9565,0.7125,0.541,0.59,16.146411236963115
F,0.53,0.395,0.145,0.775,0.308,0.169,0.255,8.756959802516302
M,0.525,0.435,0.155,1.065,0.486,0.233,0.285,8.631615055443735
F,0.52,0.405,0.115,0.776,0.32,0.1845,0.22,3.2766406612497443
I,0.235,0.16,0.04,0.048,0.0185,0.018,0.015,4.030299001344034
I,0.36,0.26,0.09,0.1785,0.0645,0.037,0.075,7.320897656932855
I,0.315,0.21,0.06,0.125,0.06,0.0375,0.035,5.4961008550172
I,0.315,0.245,0.085,0.1435,0.053,0.0475,0.05,10.94585957248239
I,0.225,0.16,0.045,0.0465,0.025,0.015,0.015,2.9416059724491683
M,0.58,0.475,0.15,0.97,0.385,0.2165,0.35,15.270292322048554
M,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14.046682230753381
M,0.64,0.51,0.175,1.368,0.515,0.266,0.57,23.07339839525993
F,0.56,0.45,0.16,1.0235,0.429,0.268,0.3,12.185188939625796
F,0.62,0.475,0.175,1.0165,0.4355,0.214,0.325,8.664176069834207
F,0.645,0.51,0.2,1.5675,0.621,0.367,0.46,11.750958657197053
M,0.62,0.49,0.19,1.218,0.5455,0.2965,0.355,9.317187871314243
F,0.63,0.48,0.15,1.0525,0.392,0.336,0.285,8.441396812925332
F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10.00575698980914
F,0.63,0.48,0.16,1.199,0.5265,0.335,0.315,10.718043954946298
F,0.585,0.46,0.17,0.9325,0.365,0.271,0.29,12.008145028891722
M,0.615,0.48,0.18,1.1595,0.4845,0.2165,0.325,13.588342894847884
M,0.61,0.485,0.17,1.0225,0.419,0.2405,0.36,14.163280728303492
M,0.58,0.45,0.15,0.927,0.276,0.1815,0.36,12.962245374477419
I,0.355,0.275,0.085,0.22,0.092,0.06,0.15,7.495734372602604
F,0.51,0.4,0.14,0.8145,0.459,0.1965,0.195,9.180122975965475
M,0.5,0.405,0.155,0.772,0.346,0.1535,0.245,11.687755703947511
F,0.505,0.41,0.15,0.644,0.285,0.145,0.21,11.394476711210977
M,0.64,0.5,0.185,1.3035,0.4445,0.2635,0.465,18.54937514517698
M,0.56,0.45,0.16,0.922,0.432,0.178,0.26,13.263089329068796
M,0.585,0.46,0.185,0.922,0.3635,0.213,0.285,10.060525735623948
F,0.45,0.345,0.12,0.4165,0.1655,0.095,0.135,10.194111527317904
M,0.5,0.4,0.165,0.825,0.254,0.205,0.285,12.899063643656257
F,0.5,0.4,0.145,0.63,0.234,0.1465,0.23,10.314249131676313
F,0.53,0.435,0.17,0.8155,0.2985,0.155,0.275,11.963617686265613
M,0.42,0.335,0.115,0.369,0.171,0.071,0.12,8.013122931533436
F,0.44,0.34,0.14,0.482,0.186,0.1085,0.16,11.133143316881469
I,0.4,0.3,0.11,0.315,0.109,0.067,0.12,8.043134181381369
I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,10.956265521497699
F,0.525,0.415,0.17,0.8325,0.2755,0.1685,0.31,12.58979246256201
I,0.37,0.28,0.095,0.2655,0.122,0.052,0.08,7.925944349614891
F,0.49,0.365,0.145,0.6345,0.1995,0.1625,0.22,9.328764412305528
M,0.335,0.25,0.09,0.181,0.0755,0.0415,0.06,9.494202096672687
F,0.415,0.325,0.105,0.38,0.1595,0.0785,0.12,13.759050497761017
M,0.5,0.405,0.14,0.6155,0.241,0.1355,0.205,10.53105877340145
F,0.485,0.395,0.16,0.66,0.2475,0.128,0.235,14.013271557226298
M,0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,12.02513674871556
M,0.45,0.35,0.13,0.46,0.174,0.111,0.135,5.848616075426049
I,0.405,0.3,0.12,0.324,0.1265,0.07,0.11,10.107573533900716
M,0.47,0.36,0.135,0.501,0.1665,0.115,0.165,10.954770330486284
F,0.415,0.305,0.13,0.32,0.1305,0.0755,0.105,9.126837127269843
F,0.445,0.325,0.125,0.455,0.1785,0.1125,0.14,5.642824857561372
F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,9.37090244677443
F,0.49,0.375,0.15,0.5755,0.22,0.144,0.19,4.4051203214551755
F,0.445,0.355,0.15,0.485,0.181,0.125,0.155,10.42824711845934
I,0.425,0.38,0.105,0.3265,0.1285,0.0785,0.1,9.408139788105263
F,0.5,0.37,0.135,0.45,0.1715,0.1055,0.155,5.907209182391216
F,0.39,0.29,0.125,0.3055,0.121,0.082,0.09,7.1404056437991015
I,0.365,0.27,0.085,0.205,0.078,0.0485,0.07,7.203611327804732
F,0.58,0.465,0.165,1.1015,0.404,0.2095,0.35,13.655838186455284
F,0.53,0.415,0.16,0.783,0.2935,0.158,0.245,13.703236610769157
M,0.555,0.445,0.135,0.836,0.336,0.1625,0.275,9.970152627778756
M,0.565,0.44,0.175,0.9025,0.31,0.193,0.325,15.741179419526599
M,0.625,0.505,0.215,1.4455,0.496,0.287,0.435,20.965878483217402
I,0.275,0.215,0.075,0.1155,0.0485,0.029,0.035,10.107299775072306
I,0.44,0.35,0.135,0.435,0.1815,0.083,0.125,12.991653235740053
I,0.295,0.225,0.08,0.124,0.0485,0.032,0.04,9.485533148621773
I,0.075,0.055,0.01,0.002,0.001,0.0005,0.0015,2.771089339556763
I,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,2.122779396468343
I,0.11,0.09,0.03,0.008,0.0025,0.002,0.003,5.212294314348728
I,0.16,0.12,0.035,0.021,0.0075,0.0045,0.005,6.532865041755035
M,0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,16.489262159519697
I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,3.8240829354345056
I,0.23,0.175,0.065,0.0645,0.026,0.0105,0.02,1.7167037310597286
I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8.45697446755693
I,0.33,0.255,0.085,0.1655,0.063,0.039,0.06,7.060825235677496
I,0.35,0.26,0.085,0.174,0.0705,0.0345,0.06,8.472938951324798
I,0.32,0.245,0.08,0.1585,0.0635,0.0325,0.05,14.144388757506636
I,0.36,0.275,0.085,0.1975,0.0745,0.0415,0.07,11.121272401351751
I,0.305,0.245,0.075,0.156,0.0675,0.038,0.045,8.426695346517523
I,0.345,0.27,0.11,0.2135,0.082,0.0545,0.07,4.437658997290234
I,0.33,0.25,0.105,0.1715,0.0655,0.035,0.06,7.165706024897217
M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,12.312704767974864
F,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,14.575764320382362
F,0.575,0.46,0.185,1.094,0.4485,0.217,0.345,17.85410279646041
M,0.6,0.495,0.165,1.2415,0.485,0.2775,0.34,14.761753358738511
M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,16.76693973144373
M,0.56,0.45,0.185,1.07,0.3805,0.175,0.41,23.661383836004788
M,0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,12.582638151691622
F,0.635,0.505,0.17,1.415,0.605,0.297,0.365,12.039367477487627
F,0.59,0.475,0.16,1.1015,0.4775,0.2555,0.295,12.615374174919484
F,0.54,0.475,0.155,0.928,0.394,0.194,0.26,14.00218946627549
F,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,7.586067146697673
M,0.53,0.42,0.165,0.8945,0.319,0.239,0.245,10.503536859052902
I,0.245,0.195,0.06,0.095,0.0445,0.0245,0.026,2.937156769188779
M,0.27,0.2,0.08,0.1205,0.0465,0.028,0.04,7.875317602564133
F,0.46,0.38,0.13,0.639,0.3,0.1525,0.16,12.414398696696656
M,0.52,0.45,0.15,0.895,0.3615,0.186,0.235,10.5782753102423
M,0.35,0.275,0.11,0.2925,0.1225,0.0635,0.0905,5.766752629007877
M,0.47,0.39,0.15,0.6355,0.2185,0.0885,0.255,5.929662722454598
F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,11.251886422915181
F,0.64,0.525,0.215,1.779,0.4535,0.2855,0.55,23.100422083418092
M,0.59,0.5,0.2,1.187,0.412,0.2705,0.37,14.028336217458271
M,0.62,0.485,0.205,1.219,0.3875,0.2505,0.385,13.080656330371642
M,0.63,0.505,0.225,1.525,0.56,0.3335,0.45,15.013119486045774
M,0.63,0.515,0.155,1.259,0.4105,0.197,0.41,14.280928547673819
M,0.655,0.54,0.215,1.844,0.7425,0.327,0.585,19.597845198339893
F,0.66,0.53,0.185,1.3485,0.493,0.245,0.49,12.237066267655207
M,0.61,0.5,0.24,1.642,0.532,0.3345,0.69,17.38114068683784
M,0.635,0.525,0.205,1.484,0.55,0.3115,0.43,20.536353626203887
F,0.515,0.425,0.135,0.712,0.2665,0.1605,0.25,8.770481806408927
F,0.535,0.415,0.185,0.8415,0.314,0.1585,0.3,14.765475629330405
I,0.36,0.285,0.105,0.2415,0.0915,0.057,0.075,6.488447721522208
F,0.455,0.355,0.12,0.4495,0.177,0.104,0.15,9.46104209756049
M,0.485,0.395,0.14,0.6295,0.2285,0.127,0.225,15.054761558917258
M,0.515,0.38,0.175,0.9565,0.325,0.158,0.31,14.583340009700702
F,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,7.304623810433322
M,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,12.38443531229731
F,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,15.0406934887733
M,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,12.018100798716151
F,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,9.477736979882504
M,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,14.231859233360572
F,0.565,0.505,0.21,1.2765,0.501,0.279,0.355,13.903829423629158
M,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,10.217101232899761
F,0.565,0.455,0.175,1.013,0.342,0.207,0.35,16.109626393177756
M,0.6,0.495,0.195,1.0575,0.384,0.19,0.375,28.533574538716817
I,0.295,0.215,0.085,0.128,0.049,0.034,0.04,7.761935845985675
I,0.275,0.205,0.075,0.1105,0.045,0.0285,0.035,2.8237569647588163
I,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,3.925915929753712
M,0.49,0.395,0.14,0.549,0.2215,0.1275,0.15,15.077340496645878
M,0.37,0.28,0.105,0.234,0.0905,0.0585,0.075,11.650810733001885
F,0.405,0.305,0.095,0.3485,0.1455,0.0895,0.1,10.023603370620945
F,0.54,0.435,0.175,0.892,0.322,0.174,0.335,13.946341367654025
M,0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8.189460187963489
M,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,1.9005109338143686
F,0.47,0.36,0.13,0.472,0.182,0.114,0.15,9.733065066897927
I,0.2,0.145,0.06,0.037,0.0125,0.0095,0.011,3.919969728482601
I,0.165,0.12,0.03,0.0215,0.007,0.005,0.005,5.403263535636654
M,0.645,0.515,0.24,1.5415,0.471,0.369,0.535,13.310399692833364
M,0.55,0.41,0.125,0.7605,0.2505,0.1635,0.195,11.903443043755717
M,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,11.05578028031165
F,0.63,0.485,0.19,1.2435,0.4635,0.3055,0.39,19.952522343978924
M,0.56,0.44,0.14,0.971,0.443,0.2045,0.265,8.069507109574435
M,0.595,0.455,0.195,1.3305,0.4595,0.3235,0.345,20.248978001549844
F,0.62,0.47,0.2,1.2255,0.381,0.27,0.435,21.3308651458551
M,0.63,0.485,0.175,1.3,0.4335,0.2945,0.46,25.456733747734116
I,0.45,0.355,0.11,0.4585,0.194,0.067,0.14,9.30927443982025
F,0.635,0.535,0.19,1.242,0.576,0.2475,0.39,15.863816208713974
M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,9.063373192303699
F,0.58,0.455,0.155,0.8365,0.315,0.1385,0.32,14.418328341228744
I,0.33,0.255,0.095,0.172,0.066,0.0255,0.06,8.201161872130445
I,0.265,0.21,0.06,0.0965,0.0425,0.022,0.03,4.632785787071671
I,0.19,0.145,0.04,0.038,0.0165,0.0065,0.015,3.1854363265432464
M,0.385,0.31,0.1,0.2845,0.1065,0.075,0.1,7.636013328218729
I,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,2.3367886885603437
M,0.335,0.265,0.105,0.222,0.0935,0.056,0.075,9.204904248374103
I,0.355,0.275,0.09,0.251,0.097,0.053,0.08,6.766511489060292
I,0.32,0.255,0.1,0.1755,0.073,0.0415,0.065,7.113464048772774
M,0.51,0.4,0.13,0.6435,0.27,0.1665,0.205,12.67813172377756
M,0.36,0.295,0.105,0.241,0.0865,0.053,0.095,9.65830194390503
I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,9.045458998789925
M,0.5,0.38,0.155,0.5955,0.2135,0.161,0.2,10.272994274377831
F,0.4,0.325,0.12,0.3185,0.134,0.0565,0.095,6.867806869431117
I,0.3,0.22,0.08,0.121,0.0475,0.042,0.035,2.83478368624236
I,0.235,0.175,0.04,0.0705,0.0335,0.015,0.02,7.464732180798341
F,0.74,0.6,0.195,1.974,0.598,0.4085,0.71,17.367148588293826
M,0.62,0.465,0.19,1.3415,0.5705,0.3175,0.355,10.615540126044019
M,0.6,0.475,0.19,1.0875,0.403,0.2655,0.325,12.33241916679245
M,0.59,0.45,0.185,1.283,0.473,0.276,0.425,10.443068424417508
M,0.62,0.475,0.185,1.325,0.6045,0.325,0.33,11.893898747823487
F,0.565,0.45,0.195,1.0035,0.406,0.2505,0.285,14.261118002788887
M,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,15.771358604754669
F,0.62,0.51,0.205,1.3475,0.4775,0.2565,0.48,10.302381923946328
M,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,11.996046932846301
F,0.505,0.375,0.18,0.568,0.2325,0.1495,0.17,11.934483852495635
F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,7.983798216607157
M,0.49,0.39,0.14,0.707,0.2795,0.2185,0.18,13.448801538445515
F,0.525,0.42,0.16,0.756,0.2745,0.173,0.275,6.344479253856783
I,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6.626454582720742
I,0.375,0.305,0.115,0.2715,0.092,0.074,0.09,9.776702020453486
M,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,16.287902164076236
F,0.61,0.495,0.185,1.153,0.536,0.2905,0.245,10.517266013224685
